"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Marina","Pandiraj","Sivakarthikeyan, Oviya, Pakoda Pandian, Sathish, Jayaprakash","","",2012,"ALL","132 min","Comedy, Drama","Pakoda' Pandian comes to Chennai to run his livelihood. He comes across a host of characters and his perspective on life changes. His cool and casual attitude earns him many friends in the beach. The rest of the movie shows some interesting incidents and the people he comes across."
"Chicky - I love Chicky Valentine's Special Pt.1 - & More Kids Cartoons","William Hoareau","","","",2020,"ALL","19 min","Animation, Kids","Meet Chicky, a little bird with a big love for fun and adventure. Nobody knows where Chicky is exactly, we just know he is cute and very curious. Enjoy this compilation of amazing kids cartoons full of fun, colorful learning adventures. You are sure to have a good time when watching these funny cartoons for babies, kids and the whole family!"
"The Vampire Happening","Freddie Francis","","","",2021,"18+","102 min","Horror","A Hollywood actress inherits a Transylvanian castle and soon learns she's descended from a line of vampires!"
"William Tecumseh Sherman: Beyond the March to the Sea","Jonathan Chase Cook","Jonathan Chase Cook","","",2019,"13+","115 min","Documentary, Special Interest","Soldier, banker, lawyer, professor; William Tecumseh Sherman was more than a Civil War General. Sherman voyaged the world, influenced the California Gold Rush, started banks and Louisiana State University. He advised and entertained presidents, and changed the dynamic of war. Later he set decades of policy in the American West. Few leaders have had such a contentious impact on America as Sherman."
"Mourning Son","Todd Newman","Dave Navarro, Todd Newman","","",2015,"16+","109 min","Documentary","Dave Navarro is a trauma survivor of the highest order. At 15 years old his mother was brutally murdered by her estranged ex-boyfriend. For 8 long years Dave's mother's killer eluded capture while Dave dealt with his deepest, darkest fears through drugs, art and escapism. In a heartbreaking, inspirational journey, Dave confronts the events that changed his life forever."
"Iraq's Secret Sex Trade","Patrick Wells","","","",2019,"16+","59 min","Documentary, Special Interest","This powerful investigation into Shia clerics in some of Iraq's holiest shrines uncovers a network of exploitation of young women and girls, trapped into prostitution and pimped out by a religious elite. Unprecedented undercover filming and victim testimony reveal how they procure young women for male clients, and are prepared to conduct 'pleasure marriages' with children."
"Monk","Ties Schenk","Teun Stokkel, Olivia Lonsdale, Marina Gatell, Sam Louwyck","","",2017,"13+","71 min","Comedy, Drama, Kids","MONK is the story of the almost collapse of a chaotic Dutch-Spanish family whose family members suffer from various modern neuroses and depression, hysteria, hypochondria and beauty complexes."
"Love Ni Bhavai","Saandeep Patel","Aarohi Patel, Malhar Thakar, Pratik Gandhi","","",2017,"13+","163 min","Comedy, Drama, Kids","Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors."
"Hichki","Siddharth P Malhotra","Rani Mukerji, Neeraj Kabi, Shiv Subrahmanyam, Sachin Pilgaonkar, Supriya Pilgaonkar, Vikram Gokhale, Hussain Dalal, Asif Basra","","",2018,"7+","116 min","Comedy, Drama, International","""HICHKI"" is a story about Naina Mathur (Rani Mukerji), an aspiring teacher who suffers from Tourette Syndrome. After numerous rejections, she lands her dream job as a full-time teacher and gets assigned a class of students who can’t seem to keep out of trouble. Naina must do whatever she can to ensure that her students realise their true potential, and defy all the odds against them."
"Sound! Euphonium: The Movie - Welcome To The Kitauji High School Concert Band","Tatsuya Ishihara","Chika Anzai, Ayaka Asai, Minori Chihara","","",2016,"7+","103 min","Anime","A recap movie of the first season of Sound! Euphonium (2015)."
"The Flip Side","Marion Pilowsky","Eddie Izzard, Emily Taheny, Vanessa Guide","","",2020,"16+","91 min","Arthouse, Comedy, Drama","Australian madness via the visitors-from-hell mixed with love, lust and a bloody good shiraz."
"K9 Adventures - Legend of the Lost Gold","Stephen Shimek","Luke Perry, Brooke Langton, Ariana Bagley, Bob Clendenin, Renny Grames, Adam Johnson","","",2014,"13+","91 min","Action, Comedy, Kids","Kassie Stevenson, her friends and her faithful dog Scoot are given a mysterious pocket watch that holds the secret to uncovering the legendary Garrison's Gold. With two crooks hot on their tails, it's up to the gang to solve the puzzle of the lost treasure. While Scoot helps Kassie search for the gold, Paul Stevenson, Kassie's dad, also unexpectedly stumbles across another treasure: love."
"Thanaha","Prakash Kunjhan Moorayil","Abilash Nandakumar, Tito Wilson, Sreejith Ravi, Hareesh Perunna, Suresh Krishna, Santhosh Keezhathur, Sreekumar, Sharanya Anand, Shruthy Bala, Irshad, Sneha Sreekumar, Molly Kannamaly, Kalabhavan Haneef, Saju Kodiyan, Nandalal, Anjali, Yatheendran, Anjali Hari, Jolly Chirayath, Thara Kalyan, Kolapully Leela, Rohit Menon, Balachandran Chullikadu, Cherethala Lalitha, Sajan Palluruthy, Narayankutty, Mohammad Musthafa, Sudheesh Anchery, Punnapara Appachan, M.S.Kolathur, Dr.Hithesh Sankar, B.Santhosh, Jayaprakashan, Sajad Bright, Priya P Varrier","","",2018,"13+","119 min","Comedy, Drama, Suspense","The movie portrays the story of two friends Vishnu & Roy who ends up in the Police service after the death of their fathers. The story begins with a missing culprit and the journey of the two policemen in unraveling the mystery."
"The Attorney","Woo-seok Yang","Kang-ho Song, Kwang Soo Cha, Gi-joong Han","","",2014,"16+","127 min","Drama","Woo-seok Song has no clients, connections or even a college degree, but his eye for business and appetite for money turn him into one of the most successful lawyers in town. But right at the peak of his success, a local teenager is falsely accused of a crime, then beaten and tortured while waiting in jail. Shocked by these conditions, Song takes on the case no one else will. Based on a true story."
"Raabta","Dinesh Vijan","Kriti Sanon, Sushant Singh Rajput, Deepika Padukone, Rajkummar Rao, Jim Sarbh, Varun Sharma, Nidhi Subbaiah","India","",2017,"13+","144 min","Drama, International, Romance","A woman crosses paths with her reincarnated lover from a previous lifetime."
"Rock N' Roll Christmas","Max McGuire","Kwaku Adu-Poku, Risa Cohen, Michael Dickson","","",2019,"7+","86 min","Drama, Special Interest","Former mother/daughter singing duo Ashlyn (Beverley Mitchell) and Bonnie Rose (Catherine Mary Stewart) have a rocky relationship."
"Shopno Danob","Uncanny Episodes","Shadhin Khasru & Tony Metcalfe, Marco Lucchi, Sarah Vinall, Tanjimul Islam, Khurshid Rumi","","",2018,"13+","5 min","Horror","A spooky, menacing tone of something creeped out the conversation between Psychiatrist Afjal Khan and his patient Mr. Jabbar! A nice, clear sunny afternoon turned into a dark creepy night within an eye blink!! Dream Monster, which can turn your day into night, just to haunt you!!"
"Christmas in Mississippi","Emily Moss Wilson","Jana Kramer, Wes Brown, Faith Ford","","",2017,"7+","93 min","Drama, Romance","Photographer Holly Logan (Jana Kramer) returns to her hometown of Gulfport, Mississippi for Christmas. The town is resurrecting their traditional holiday light show and now Holly must spend the next few days with the man who broke her heart."
"Coolie No. 1","David Dhawan","Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar","India","",2020,"13+","135 min","Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand."
"The Hungry","Bornila Chatterjee","Antonio Aakeel, Tisca Chopra, Neeraj Kabi, Naseeruddin Shah","United Kingdom, India","",2017,"18+","99 min","Drama, International","THE HUNGRY follows Tulsi Joshi, a widow and bride to be who comes to her own wedding seeking revenge for the brutal murder of her first born son. Based on Shakespeare’s Titus Andronicus, THE HUNGRY is about the violence that exists between power and love - a macabre fairytale set in the elite circles of north India."
"Agent Sai Srinivasa Athreya","Swarooj RSJ","Naveen Polishetty, Shruti Sharma","","",2019,"13+","145 min","Drama, International","Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore."
"Rejects","Austin Buchanan, Samuel Niall","Honda King, Randall Walter McDonald, Austin Buchanan, Mathew David Torres, Tylar Preece, Samuel Niall","","",2021,"16+","13 min","Action, Drama, Science Fiction","Every choice matters when a crew of misfit mercenaries has the wrong idea at the wrong time, they must clean up their mess before they have to relive their mistakes."
"Scientology","Rainer Fromm","Sabine Weber, Wilfried Handl, Ralf Gerhardt, Ursula Caberta","","",2012,"7+","59 min","Documentary","To some, Scientology is a bona fide religion based upon rigorous research and its doctrines are akin to universal scientific laws. But to others, including some former members, Scientology is a cult whose so-called doctrines are nothing more than ridiculous science-fiction stories invented by founder, L. Ron Hubbard. What is the truth about Scientology?"
"Recognize","Terry T. Miles","TERRY MILES, ONEWAY BOOBE, TONY FRANKLIN, DINO","","",2021,"18+","93 min","Action, Drama","Recognize is an action packed urban film about an car dealership owner that works as respectable job by day but has a dark twisted side to him that you wouldn't expect. This film delivers a strong message to the streets. Definitely said to be the next hood classic. Written and directed by TMiles/Exec Producer Terry T.Miles Cinematography Jason Diaz"
"Bhoot Part One - The Haunted Ship","Bhanu Pratap Singh","Vicky Kaushal, Bhumi Pednekar, Ashutosh Rana","India","",2020,"16+","110 min","Horror, International","In June 2012, A huge, dead, unmanned ship-“Sea Bird”, on its way to a shipyard, broke its ties and ran ashore Juhu beach. Prithvi, a shipping officer recovering from psychotic depression due to the loss of his family, is in charge of getting Sea Bird back afloat."
"A Haunting on Potter Street","Steven T. Shippy","Steven T. Shippy, Prozak, Brian Harnois, Adam Eugenio, Tim Rooney","","",2012,"13+","77 min","Drama, Horror","For the first time in history, a documentary film crew has been granted permission to enter the massive and mysterious Potter street station, of Saginaw, Michigan. Watch the evidence unfold as investigators chronicle their journey through 30,000 square feet of suspense. Locked in over night, the investigators have 'til dawn to capture proof of the train station's notorious hauntings."
"Screwdriver","Chuck Conry","","","",2021,"16+","67 min","Horror","After a new part store opens in town that sends him out of business, the former town handyman takes revenge on the new owner's son and all of his out of town friends."
"A Familiar Lie","Andre Roberson","Omar Gooding, Walter Franks, Trae Ireland, Imonte Hand aka LightSkinMonte, Darren L. Miller, Veronica Rich","","",2020,"18+","95 min","Drama, Suspense","Camille Rogers, a beautiful, devoted wife suspects her husband - the love of her life- is having an affair. Reluctantly, Camille hires a Private Investigator to provide proof of her husband's affair."
"Nootrenbadhu","Jayendra Panchapakesan","Siddharth, Priya Anand, Nithya Menen, Moulee, Geetha","","",2011,"ALL","134 min","Romance","Soon after his marriage to Renuka, Dr Ajay learns that he has cancer and has only six months left to live. He fakes his death, moves to India and decides to lead his remaining life helping others."
"Nocturnal Agony","Shuaib Mitchell","Andrea R. Baker, Jae Boddie, Bobby J. Brown, Vernee Watson","","",2014,"13+","111 min","Suspense","A highly successful woman with a loving family has her perfect world turned upside down when the hidden secrets from her past suddenly resurfaces."
"Yemaali","V. Z. Durai","Samuthirakani, Sam Jones, Athulya Ravi, Roshni Prakash","","",2018,"13+","140 min","Comedy, Drama","When his girlfriend breaks up with him, Mali wishes to kill her and asks his friend, Arvind, for help. Reluctant, Arvind advises Mali to hatch a foolproof murder plan before making any rash decisions."
"Finding Ophelia","Stephen Rutterford","Jimmy Levar, Christina Chu-Ryan, Ira Grossman, Alexandra Lyon","United States","",2021,"16+","73 min","Romance, Suspense","Finding the girl of your dreams can be a nightmare."
"Tempt Raja","Veernala Rama Krishna Rao","Divya Rao, Posani Krishna Murali","","",2021,"18+","103 min","Comedy, Drama","Tempt Raja is a Telugu movie starring Veernala Rama Krishna Rao, Divya Rao, and Aasma in prominent roles. It is a comedy-drama movie directed by Veernala Rama Krishna Rao with T. Shankar as a musician, forming part of the crew."
"Sprinter","Storm Saulter","Dale Elliott, Lorraine Toussaint, David Alan Grier, Kadeem Wilson","","",2018,"13+","112 min","Drama, Sports","A Jamaican teen who is burdened by an unstable father and an unruly older brother hopes a meteoric rise in track-and-field can reunite him with his mother, who has lived illegally in the U.S. for over a decade. Executive produced by Jada Pinkett and Will Smith."
"Asmee","Sesh Karthikeya","Rushika Raj, Raja Narendra, Keshav Deepak, Indu Kusuma, Hemanth Varma, Priyanka Chowdary, Rahul Chavan, Mahesh Boya","","",2021,"13+","95 min","Suspense","Asmee is a dark love story revolving around a newlywed couple with a mysterious past. They must confront the harsh truths and pay a price for their actions."
"Pinkfong! Super Wheels (Cars, Trucks, Buses and More)","Pinkfong","","","",2020,"ALL","29 min","Animation, Kids","Super Wheels to the rescue! This compilation of automobile songs includes a series of tunes about vehicles; from cars to trains and much more. Hop on the Pinkfong Super Wheels compilation!"
"Mask Of Thorn","MJ Dixon","","","",2021,"18+","108 min","Horror","Bethany has struggled to fit in her whole life. That is, until Avondale's popular kids kidnap her for a surprise birthday party. What they don't realize is that she is the target of a monster known as 'Thorn' and tonight he's coming for her and nothing will stand in his way. The Bloodletting Behemoth cuts his way through the small town in search of Bethany, and only one person can stop him."
"Chicago Overcoat","Brian Caunter","Frank Vincent, Kathrine Narducci, Mike Starr, Stacy Keach, Armand Assante","","",2019,"13+","94 min","Action, Drama, Suspense","The fates of an aging hitman and a washed up detective become entwined when one last job leads to one last chance to settle an old score."
"The Magical Powers of Morphle","Arthur van Merwijk","","","",2019,"ALL","43 min","Animation, Kids","Morphle's amazing powers are put to use in this fantastic collection of videos. Enjoy Morphle's magic in episodes like 'Morphle The Fire Truck & The Sneezing Dragon', 'Morphle Helps The Award Guy' and more wonderful videos!"
"The Green Sea","Randal Plunkett","Katharine Isabelle, Hazel Doupe, Dermot Ward, Amy Joyce Hastings, Ciaron Davies","","",2021,"18+","106 min","Drama, Suspense","A troubled musician lives in self-imposed isolation until a chance meeting lures her into a potent mystery, tied to the unexpected appearance of a wayward teen girl and an enigmatic stalker who lurks in the shadows of her every move."
"Searching for Augusta: The Forgotten Angel of Bastogne","Mike Edwards","","","",2016,"13+","74 min","Documentary, Special Interest","This true story begins with two nurses, Renee LeMaire and Augusta Chiwy, as they treat patients in the Bastogne aid station. Renee was killed on Christmas Eve and became famous as ""The Angel of Bastogne."" Augusta's story was lost to history for sixty-five years. Augusta Chiwy's story is one of great courage and heroism in the face of racial discrimination."
"Breaking & Exiting","Peter Facinelli","Milo Gibson, Jordan Hinson, Adam Huber, Joaquim de Almeida, Justine Wachsberger, James Kyson, Lily Anne Harrison, Cecile Cubilo","","",2018,"18+","78 min","Comedy","During a burglary Harry, a charming house thief, meets Daisy and saves her from herself, sending them into a journey of self discovery and love."
"Rise of the Footsoldier: The Heist","Andrew Loveday","Craig Fairbrass, Terry Stone, Roland Manookian","","",2020,"18+","85 min","Action","Fresh out of prison, Pat Tate can't stop brooding about the man who had him put away. Soon he's off to find Frank Harris and seek his revenge."
"Learn Numbers with Max the Glow Train and Bill the Monster Truck","Zach Bell","Matt Jennings, Jordan Nistico","","",2015,"ALL","7 min","Kids","Join the amazing adventure with Max the Glow Train, Blazin' Bill the Monster Truck, Numbers and Toys! After counting the numbers, Max realizes that the number 10 is stuck on the top shelf. Max and Bill build the ramp by counting to ten so Bill can jump on the top shelf and rescue the number 10."
"Hotel Coolgardie","Pete Gleeson","","Australia","",2017,"13+","84 min","Documentary","In remotest red-dust Australia is the sleepy mining town of Coolgardie. When two Finnish girls take jobs in the town's pub, they find themselves in a trial of endurance, and soon realise that pouring pints is the least of their work. Amusing, disturbing, and thoroughly bizarre, this candid documentary reveals the struggles of adapting to life in an insular community."
"Thottu Vidum Thooram","V.P. Nageswaran","Monica Chinnakotla, Sagarika Gowda, Vivek Raj","","",2020,"13+","112 min","Drama","When a group of college students comes to a small village as part of their NSS camp, one of the girls, Priya, falls in love with a local worker, Suresh. Romance blossoms between the two but at the end of the camp, they are forced to separate as Priya heads back to the city. Can their love conquer distance?"
"The Birth of Deceit","Yaw Agyapong","Nessa Noel, Jennifer Silverstein, Terrence Keene, Devin Richardson, Alicia Dell'Aria, Rochelle Denise Dickerson, Rylee Gabrielle King, Tim Stainrod, Sherricka L. White","","",2020,"18+","86 min","Suspense","A young woman befriends a lady who knows what happened to her parents. She and her friends will have to fight for their lives to uncover the truth."
"Living Well With Dementia","Mark Knight","Dr Daniel J Nightingale","","",2014,"ALL","24 min","Special Interest","This session is designed for those living with the day-to-day challenges of dementia to help them better retain their memory and to relax both the mind and body. Dr Daniel J Nightingale helps with reduced anxiety, increased confidence and self-esteem, heightened level of relaxation and recollection of significant events, as well as improved communication, socialization and interaction."
"Come Morning","Derrick Sims","Michael Ray Davis, Thor Wahlestedt, Elise Rovinsky, Blake Logan, Maurice Mejia, Dean Denton, Thomas Moore, Richard Ledbetter, Joel Gray, Jeremy Holden","","",2011,"16+","76 min","Arthouse, Drama","Set in rural Arkansas in 1973, Come Morning is the tragic story of Frank and his 10-year-old grandson and the hunting accident that forever changes their lives."
"My contract","MIRACLE NDUKA","BEN LUGO TOUITOU, JIDE KOSOKO, AYO ADESANYA, JIBOLA DABO","","",2020,"13+","102 min","Drama","What is the fate of a young graduate hustling to make ends meet in the mega city of Nigeria, Lagos, whose greedy and dubious boss out of ignorance leads him to the hands of his life changer and destiny helper? He is left to battle his boss to progress with his life or die a pauper."
"Sweet Sunshine","Craig McMahon","Savanah McMahon, John Way","","",2020,"13+","94 min","Romance, Western","After his rise to fame causes a rift with his father, a young superstar suffers a tragedy that will change his life forever. Can a chance meeting with a talented young woman give him the strength he needs to believe in himself?"
"Dead Sound","Tony Glazer","Jeff Kober, Matty Cardarople, Brett Azar, Caroline Day, Ashley Austin Morris, John Behlmann","","",2020,"13+","84 min","Suspense","Based on a true story, what started as a celebratory outing went terribly wrong. A group of college friends who miss the last boat to an island party are held hostage by the deranged fishing boat crew they hire to take them across Long Island Sound. What follows is a gripping and bloody game of cat and mouse, where everyone does what they need to do to survive."
"Pay The Ghost","Uli Edel","Nicolas Cage, Sarah Wayne Callies","","",2015,"16+","94 min","Action, Science Fiction","One year after his young son disappeared during a Halloween carnival, Mike Lawford (Nicolas Cage) will stop at nothing to unravel the mystery of the kidnapping and find his son."
"The Terrible Adventure","Kel Thompson","Olivia Thompson, Jackson Thompson, Ciro Dobric, Santo Curatolo, Brett Engle, Kristina Maria Day, Jillian Chiappone","","",2021,"ALL","94 min","Comedy, Kids","When two affluent siblings are faced with losing everything, they spring into action attempting to conquer a contest put on by billionaire Billy Branson."
"Ratnagiri","MANOJ KP","JANARDHAN, RAVI JACKSON, SHAMBU PRASAD, RASOOL, DR.SAKARAM","","",2021,"16+","85 min","Drama, Horror, Suspense","A mysterious series of murders happens at a deep rural place called Ratnagiri, Krishna goes to the rathnagiri as sub inspector of police! What reasons made him to take up the case. How the police handled the case. And final what happened is the rest of the story."
"Maggie Shayne's Embrace the Twilight","Carlos Dunn","Theresa Bryon, Logan Shephard, Chris Hahn, Bridget Messaros, Aja Nicole, Jason Klingensmith, Angela Duggins, Cody Kilpatrick Steele, Angel Reed, Debbie Scaletta, Tyler Gallant","","",2021,"16+","140 min","Action, Romance, Suspense","A seductive vampire and an ex-soldier must protect the only human-vampire hybrid from dangerous mercenaries who seek the secrets of her immortality."
"Mario And Fafa's Wacky Lessons","Damien Eckhardt-Jacobi, Vincent Bova","","","",2019,"ALL","18 min","Comedy","Glove and Boots is a puppet-based video blog. The two main characters are a red, bearded humanoid named Mario , and an anthropomorphic groundhog named Fafa. In this compilation of Glove and Boots, enjoy a Mario and Fafa's interesting and comical sketches about beards, grandmas, and many more!"
"Vikram Vedha","Pushkar-Gayathri","Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir, Varalaxmi Sarathkumar","","",2017,"13+","140 min","Action, Suspense","Vikram, a pragmatic policeman, and his partner Simon are on the hunt to capture Vedha. When Vedha voluntarily surrenders, he offers to tell Vikram a story, throwing Vikram's life into disarray."
"Educational Songs for Toddlers - Little Baby Bum","Cannis Holder","","","",2019,"ALL","33 min","Kids","This 30-minute compilation has some of the most popular and educational nursery rhymes for your children. Your kids will love to sing, dance and learn about basic things in life from songs such as 'Eat Your Vegetables', 'Kindness Song', and many more!"
"Chicken People","Nicole Lucas Haimes","Brian Caraker, Brian Knox, Shari McCollough","United States","",2016,"13+","83 min","Documentary, Special Interest","SXSW, AFI Docs alum ""Chicken People"" takes a humorous and heartfelt look at the colorful and hugely competitive world of champion show chicken breeders. A real life ""Best in Show"" but about chickens, the film follows the struggles and triumphs of both humans and their chickens on the road to compete at the Ohio National Poultry Show, considered the Westminster of Chickens."
"47 Days","Pradeep Maddali","Satyadev Kancharana, Pooja Jhaveri, Roshini Prakash, Ravi Varma, Srikanth Iyyengar, Hari Teja","","",2020,"13+","108 min","Drama, Suspense","Satya (SatyaDev) is a suspended ACP in Vizag who is looking for reasons behind his wife, Paddu's(RoshiniPrakash) mysterious death. One fine day, he comes to know that a lady named Juliet(PoojaJhaveri) is involved in all this. He starts investigating her but falls prey to a drug case. What is this drug case? Who is this Juliet? how is Paddu connected to all this? That forms the rest of the story."
"15 Killings","I. Drakos","Steve Bongeorno, Maria Olsen, JT Richardson","","",2020,"18+","97 min","Horror, Suspense","After committing a series of multiple murders, a neurologist visits an incarcerated killer, living in exile. She studies him and his brain and discovers the horror that lurks behind his violent impulses."
"Sixer","Chachi","Vaibhav Reddy, Palak Lalwani, Sathish, Radha Ravi, Ilavarasu","","",2019,"ALL","129 min","Comedy, Romance","A site engineer, who suffers from night blindness, gets into trouble when he is mistaken for the leader of a protest group by a goon. His life becomes even more complicated after he falls in love."
"Bond - In Isolation","Sonia Kohli","Mohinder Kohli, Upinder Singh","","",2021,"7+","42 min","Horror","Dhruv has just moved into a new house and been asked to isolate himself. The story tells how he survives with limited food, basic necessities, and a broken phone. The story boasts about his desperation to reach out to his best friend Kabir but all he feels is someone else's presence in the house."
"Real Construction Trucks for Children - Gecko's Real Vehicles","Christian Hughes","","","",2019,"ALL","35 min","Kids","Gecko takes you into the real world to explore and learn everything about construction trucks. In this vehicle-based educational series for children, follow Gecko as he encounters a cement mixer, a dump truck, an excavator, and many more!"
"Scarecrow County","John Oak Dalton","Iabou Windimere, Jeff Kirkendall, Erin R. Ryan, Marie DeLorenzo, Joni Durian","","",2019,"16+","75 min","Horror","A small-town librarian is gifted the lost diary of a dead teenager, exposing long buried secrets as a murderous scarecrow stalks the streets."
"Lewis Black: Black to the Future","Justin Kreutzmann","Lewis Black","","",2016,"16+","50 min","Arts, Entertainment, and Culture, Comedy","""Lewis Black: Black To The Future"" - 50 Min - Recorded live in NYC - A passionate performer who is a more pissed-off optimist than mean-spirited curmudgeon."
"Taller Than The Trees","Dean Tucker","S. Joshua Costantini, Quinn Costantini, Cricket Costantini, Loren Costantini, Dean Tucker, Monica Costantini, Calder Costantini, Mona Costantini, Jason Costantini","","",2021,"16+","89 min","Action, Drama, Suspense","A man embarks on a mysterious journey deep into the wilderness in search of the one thing he's been studying his entire life. Meanwhile, his daughter knows something he doesn't and is in pursuit to track him down and stop him from the point of no return."
"Gecko's Garage Real Vehicles Volume 1 (Cars, Ambulance, etc)","","","","",2019,"ALL","40 min","Kids","Gecko visits lots of big vehicles and trucks in this learning series for children. In this compilation, Gecko's Real Vehicles features a brand new electric car, electric bus, and lots more!"
"Sanctuary","Reid Nicewonder","Alexandra Willers, Michael Andrew Scott, Blake Logan, Fedor Steer, Shanna McLaughlin","","",2021,"18+","85 min","Horror, Science Fiction, Suspense","Four people in a high rise condo fight for their lives against a malevolent force that seeks to destroy them. But when a mysterious being in a familiar body finds them, the group discovers what's truly at stake."
"Midnight Sky & Ocean Sounds 4 hours","Mark Knight","","","",2019,"ALL","240 min","Documentary, Special Interest","This ultra dark HD video of midnight moonrise, accompanied by natural ocean sounds, reduces the blue-spectrum light waves-known to inhibit REM sleep. By following the five stages of sleep patterns, this calming video will help you relax into a deep sleep. Filmed on location in South Carolina."
"13th Locker","Adam Montierth","Ricky Schroder, Rick Hoffman, Jon Gries, Jason Spisak, Jon Polito, Krista Allen, Tatyana Ali, David Huddleston, Curtis Armstrong, Bart Johnson, Jesse Garcia, Steve Eastin, Victor Campos, Jason Marsden, Alexander Polinsky, Marina Benedict, Thomas Calabro, Jose Rosete","","",2020,"13+","103 min","Drama, Suspense","13th Locker is a Thriller Anthology Film similar to classic TV Series like Twilight Zone and Suspense, which feature people who find themselves in dangerous and life-threatening situations. Skip delves into the mysteries of an old creepy locker. His sage supervisor recounts 4 chilling cautionary tales to warn Skip and the stories come into play when Skip faces a life-or-death decision of his own."
"Blitzed: Nazis on Drugs","Duncan Napier-Bell","Steven Berkoff","","",2018,"13+","58 min","Documentary","In 1938 a drug called Pervitin was created in Nazi Germany. This drug was distributed to German soldiers during the course of WW2 and Hitler was no exception to these drug highs receiving drug cocktails from his personal physical Theodor Morell. This film explores the use of drugs in WW2 and looks at the potential effects that drugs could have had on Hitler, soldiers and the war itself."
"Bhaagamathie","G. Ashok","Anushka Shetty, Unni Mukundan, Jayaram, Asha Sarath","","",2018,"7+","137 min","Adventure, International, Suspense","Chanchala IAS (Anushka Shetty) who earlier was a PS to a Minister is targeted in a plot to defame him. She is in the prison accused of murder and is then shifted to an abandoned palace by ACP Sampath. Chanchala gets possessed by the dead Queen Bhagamathie. What is Bhagamathie’s revenge and how Chanchala intelligently gets out of the evil plot and the murder case is shown in the rest of the movie."
"Book Of Fire","Tommy Frazier","Carmen Electra, Catherine Bach, Nicole Sienna, Shane Brolly, Jason Mewes, Chasty Ballasteros","","",2021,"18+","86 min","Horror, Science Fiction","On the eve of her 19th birthday, Nina finds out that she has been cursed since ancient Roman times by Emperor Justinian. She carries a plague that can wipe out the human race. The Book of Fire reveals that Nina can choose to live and infect millions, or avoid the fate by spending eternity in purgatory. She has three days to decide, and so Nina has no choice but to make her own destiny."
"Moon Point","Sean Cisterna","Nick McKinlay, Paula Brancati, Art Hindle","","",2011,"13+","83 min","Comedy","The quirky story of Darryl Strozka, an ambitionless 24-year-old who travels hundreds of miles in a wagon hooked onto the back of his friend's electric wheelchair, in hopes of tracking down his childhood crush."
"War (Hindi)","Siddharth Anand","Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana","","",2019,"13+","152 min","Action, Drama, Suspense","An elite shadow unit of RAW led by agent Kabir (Hrithik Roshan) focusses on maximum risk missions. Khalid (Tiger Shroff), a soldier with a murky past, struggles to get into Kabir’s team and finally manages to convince him of his dedication & loyalty. Now, when Kabir mysteriously goes rogue, Khalid is assigned the task of hunting down his mentor. Can he track him? A deadly war begins."
"PARASAKTHY","Kani arasu","Kishan pillai, Shalini, Thuraj","","",2021,"18+","25 min","Action, Drama","a drunkyard father which living in caste system, try to save his kids being abuse by high caste people"
"Nursery Rhymes & Kids Songs by Go Buster","Richard Hickey, Nick Hatton Jones","","","",2019,"ALL","47 min","Kids","Enjoy a collection of educational yet fun nursery rhymes and kids songs with Buster, a bright little yellow bus who is curious about the world. Created by the minds behind Little Baby Bum, Go Buster teaches young pre-schoolers simple life lessons through the lens of Buster. Come join Buster as he sings popular kids songs with his friends, Terry the tractor and Scout the car!"
"Padaiveeran","Dhana Sekaran","Vijay Yesudas, Amritha Aiyer, Bharathiraja, Akhil","","",2018,"13+","121 min","Drama","Muneeshwaran decides to become a police officer after seeing the perks the job offers. However, he is caught in a dilemma when he is tasked with dealing with communal riots in his village."
"I Am Watching You","Maureen Bharoocha","Madeline Zima, Brian Ames, Lilian Bowden, Lesley-Anne Down","","",2016,"18+","85 min","Suspense","Nora’s life is at a stand-still when she gets writer’s block for her new book deal, but that quickly dissipates as she catches glimpses of her neighbor’s love life through the window. And when the two finally meet, their physical affair gives Nora inspiration for her book."
"Butterflies","Biodun Stephen","Bolaji Ogunmola, Pere Egbi, Kachi Nnochiri, Joshua Richard","","",2021,"13+","112 min","Drama","Eniola's must marry her late father's prodigy for three years if she must claim the shares he willed her."
"The Monopoly On Violence","Chris Cofer","Ron Paul, Tom Woods, Michael Huemer, James C. Scott, Dave Smith, Thaddeus Russell, David Friedman","","",2020,"13+","106 min","Documentary","This is a story of the violence and coercion that underlies our modern societies. Most of the time, our interactions are peaceful and consensual, but there is a large notable exception. The state maintains its power and ability to create law by the constant threat of force. It prohibits competition to its authority, and in this sense, represents a monopoly."
